Name,Citations,h-index,h5,Institution,Rank,Median h-index
Lau,520,7,-,UWA,1,22
Gorgens,241,7,-,ANU,2,22
Buchmann,233,9,-,ANU,3,22
Peiris,823,12,-,USyd,4,22
Cripps,1270,17,11,UWA,5,22
Qian,1000,18,11,Melbourne,6,22 
Keich,2201,20,14,USyd,10,22
Ormerod,2569,21,16,USyd,9,22
Tran,2042,22,21,USyd,8,22
Chan,2343,22,16,USyd,11,22 
Maharaj,2252,22,17,Monash,14,22
Micheaux,1607,24,14,UNSW,12,22
Laaksonen,4281,30,20,Usyd,15,22
Gallagher,3379,33,20,UQ,16,22
Turlach,6346,33,20,UWA,17,22
Yang,6627,41,26,USyd,18,22
Batista, 18176, 45,36, UNSW,19, 22 
